TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED,DIVIDEND SCORE,ANALYST RATING SCORE
NAPA.OL,Napatech A/S,https://www.napatech.com,Communication Equipment,Technology,34.0,NOK,0,0.0,0
NEXT.OL,NEXT Biometrics Group ASA,https://www.nextbiometrics.com,Scientific & Technical Instruments,Technology,8.62,NOK,0,0.0,1
NODL.OL,Northern Drilling Ltd.,https://www.northerndrillingltd.com,Oil & Gas Drilling,Energy,0.2295,NOK,0,0.0,0
NOD.OL,Nordic Semiconductor ASA,https://www.nordicsemi.com,Semiconductors,Technology,134.35,NOK,0,0.0,25.599999999999994
NHY.OL,Norsk Hydro ASA,https://www.hydro.com,Aluminum,Basic Materials,66.6,NOK,0,4.0334,43.400000000000006
NRC.OL,NRC Group ASA,https://www.nrcgroup.com,Railroads,Industrials,13.55,NOK,0,0.0,2.4499999999999993
OTS.OL,Oceanteam ASA,https://www.oceanteam.nl,Marine Shipping,Industrials,1.225,NOK,0,0.0,0
ODL.OL,Odfjell Drilling Ltd.,https://www.odfjelldrilling.com,Oil & Gas Drilling,Energy,52.5,NOK,0,8.0,13.079999999999998
ODF.OL,Odfjell SE,https://www.odfjell.com,Marine Shipping,Industrials,189.0,NOK,0,9.0397,35.52000000000001
OLT.OL,Olav Thon Eiendomsselskap ASA,https://www.olt.no,Real Estate Services,Real Estate,228.0,NOK,0,4.0167,22.0
ORK.OL,Orkla ASA,https://www.orkla.no,Packaged Foods,Consumer Defensive,82.55,NOK,0,5.0346,17.450000000000003
PARB.OL,Pareto Bank ASA,https://www.paretobank.no,Banks—Regional,Financial Services,59.6,NOK,0,5.0,8.399999999999999
PCIB.OL,PCI Biotech Holding ASA,https://www.pcibiotech.com,Biotechnology,Healthcare,1.6,NOK,0,0.0,0
PEXIP.OL,Pexip Holding ASA,https://www.pexip.com,Software—Application,Technology,29.25,NOK,0,7.0,14.75
PSE.OL,Petrolia SE,https://www.petrolia.eu,Oil & Gas Equipment & Services,Energy,4.72,NOK,0,0.0,0
PHO.OL,Photocure ASA,https://www.photocure.com,Drug Manufacturers—Specialty & Generic,Healthcare,57.8,NOK,0,0.0,68.2
POL.OL,Polaris Media ASA,https://www.polarismedia.no,Publishing,Communication Services,72.5,NOK,0,7.0579,0
PRS.OL,Prosafe SE,https://www.prosafe.com,Oil & Gas Equipment & Services,Energy,33.55,NOK,0,0.1294,6.210000000000001
QEC.OL,Questerre Energy Corporation,https://www.questerre.com,Oil & Gas E&P,Energy,1.8,NOK,0,0.0,0
REACH.OL,Reach Subsea ASA,https://reachsubsea.no,Oil & Gas Equipment & Services,Energy,6.32,NOK,0,4.0,2.6799999999999997
SADG.OL,Sandnes Sparebank,https://www.dengulebanken.no,Banks—Regional,Financial Services,98.5,NOK,0,7.0,10.5
SATS.OL,Sats ASA,https://satsgroup.com,Leisure,Consumer Cyclical,17.66,NOK,0,0.0,8.34
SCATC.OL,Scatec ASA,https://scatec.com,Utilities—Renewable,Utilities,79.25,NOK,0,5.0122,21.75
SCHA.OL,Schibsted ASA,https://www.schibsted.com,Publishing,Communication Services,333.6,NOK,0,4.0086,87.39999999999998
SCHB.OL,Schibsted ASA,https://www.schibsted.com,Publishing,Communication Services,325.0,NOK,0,4.0,66.0
SDSD.OL,S.D. Standard ETC Plc,https://www.standard-etc.com,Oil & Gas Equipment & Services,Energy,1.712,NOK,0,0.0,0
SBX.OL,SeaBird Exploration Plc,https://www.sbexp.com,Oil & Gas Equipment & Services,Energy,4.77,NOK,0,8.0,5.140000000000001
SDRL.OL,Seadrill Limited,https://www.seadrill.com,Oil & Gas Drilling,Energy,555.0,NOK,0,0.0,116.46000000000004
SBO.OL,Selvaag Bolig ASA,https://www.selvaagboligasa.no,Real Estate Services,Real Estate,36.0,NOK,0,7.1015,2.0
SIOFF.OL,Siem Offshore Inc.,https://www.siemoffshore.com,Oil & Gas Equipment & Services,Energy,36.75,NOK,0,0.0,10.950000000000003
SOFF.OL,Solstad Offshore ASA,https://www.solstad.com,Marine Shipping,Industrials,48.96,NOK,0,0.0658,1
NONG.OL,SpareBank 1 Nord-Norge,https://www.sparebank1.no,Banks—Regional,Financial Services,101.24,NOK,0,7.0596,14.760000000000005
RING.OL,SpareBank 1 Ringerike Hadeland,https://www.sparebank1.no/ringerike-hadeland,Banks—Regional,Financial Services,300.0,NOK,0,7.0434,37.0
MING.OL,SpareBank 1 SMN,https://www.sparebank1.no/nb/smn,Banks—Regional,Financial Services,150.3,NOK,0,4.0519,17.69999999999999
SOAG.OL,SpareBank 1 Østfold Akershus,https://www.sparebank1.no/nb/ostfold-akershus/privat.html,Banks—Regional,Financial Services,341.0,NOK,0,8.0488,47.0
SPOL.OL,SpareBank 1 Østlandet,https://www.sparebank1.no/en/ostlandet/personal.html,Banks—Regional,Financial Services,134.14,NOK,0,8.0441,7.860000000000014
SOR.OL,Sparebanken Sør,https://www.sor.no,Banks—Regional,Financial Services,146.46,NOK,0,8.0717,29.539999999999992
SPOG.OL,Sparebanken Øst,https://www.oest.no,Banks—Regional,Financial Services,53.6,NOK,0,4.0811,0.3999999999999986
SNI.OL,Stolt-Nielsen Limited,https://www.stolt-nielsen.com,Marine Shipping,Industrials,507.0,NOK,0,9.0478,45.49000000000001
STB.OL,Storebrand ASA,https://www.storebrand.no,Financial Conglomerates,Financial Services,111.1,NOK,0,4.0536,14.900000000000006
SUBC.OL,Subsea 7 S.A.,https://www.subsea7.com,Oil & Gas Equipment & Services,Energy,187.0,NOK,0,9.0,42.5
TEL.OL,Telenor ASA,https://www.telenor.com,Telecom Services,Communication Services,126.3,NOK,0,2.0675,39.7
TOM.OL,Tomra Systems ASA,https://www.tomra.com,Waste Management,Industrials,141.4,NOK,0,4.014,108.6
VEI.OL,Veidekke ASA,https://www.veidekke.com,Engineering & Construction,Industrials,115.2,NOK,0,4.045,30.799999999999997
WWI.OL,Wilh. Wilhelmsen Holding ASA,https://www.wilhelmsen.com,Marine Shipping,Industrials,392.0,NOK,0,8.0218,161.49
WWIB.OL,Wilh. Wilhelmsen Holding ASA,https://www.wilhelmsen.com,Marine Shipping,Industrials,370.0,NOK,0,8.0249,0
XXL.OL,XXL ASA,https://www.xxlasa.com,Specialty Retail,Consumer Cyclical,0.775,NOK,0,0.0,0
YAR.OL,Yara International ASA,https://www.yara.com,Agricultural Inputs,Basic Materials,320.8,NOK,0,8.0632,111.39999999999998
ZAL.OL,Zalaris ASA,https://www.zalaris.com,Staffing & Employment Services,Industrials,71.0,NOK,0,0.0,10.0
